name,position,clubCode,clubName,basePrice,tierLabel,goals,assists,ownedBy,departed,departedNote
A.Becker,GK,LIV,Liverpool,6,1,0,0,Patchwork FC,False,
A.García,DEF,AVL,Aston Villa,4,1,0,0,,False,
A.Murphy,DEF,NEW,Newcastle,4,2,0,0,,True,Has joined FC Kaiserslautern on loan for the rest of the season
Aaronson,MID,LEE,Leeds,6,2,4,8,,False,
Abbott,DEF,NFO,Nott'm Forest,4,3,0,0,,False,
Abraham,FWD,AVL,Aston Villa,6,1,2,0,,False,
Acheampong,DEF,CHE,Chelsea,4,2,1,0,,False,
Adams,MID,BOU,Bournemouth,4,1,2,2,,False,
Adingra,MID,SUN,Sunderland,4,2,1,1,,False,
Adli,MID,BOU,Bournemouth,4,1,3,2,,False,
Ahoka,MID,SUN,Sunderland,4,2,0,0,,False,
Aina,DEF,NFO,Nott'm Forest,4,3,0,2,,False,
Ajayi,DEF,HUL,Hull City,4,3,2,1,,False,
Ajer,DEF,BRE,Brentford,4,2,0,2,,False,
Akintola,MID,HUL,Hull City,4,3,0,0,,False,
Akpom,FWD,IPS,Ipswich Town,4,3,0,0,,False,
Al-Hamadi,FWD,IPS,Ipswich Town,4,3,0,0,,True,Has joined Sheffield Wednesday on loan for the rest of the season
Alcaraz,MID,EVE,Everton,4,2,0,1,,False,
Alderete,DEF,SUN,Sunderland,4,2,1,1,,False,
Allan,MID,MCI,Man City,6,1,0,0,,False,
Alleyne,DEF,MCI,Man City,4,1,0,0,,True,Has joined Burnley on loan for the rest of the season
Alysson,MID,AVL,Aston Villa,4,1,0,0,,False,
Amad,MID,MUN,Man Utd,6,1,2,5,,False,
Amass,DEF,MUN,Man Utd,4,1,0,0,,False,
Amenda,DEF,COV,Coventry City,4,3,0,0,,False,
Ampadu,MID,LEE,Leeds,6,2,1,4,,False,
Andersen,DEF,FUL,Fulham,4,2,0,1,,False,
Anderson,MID,MCI,Man City,6,1,4,5,,False,
Andrews,MID,COV,Coventry City,4,3,0,0,,True,Has joined Oxford United on loan for the rest of the season
Andrey Santos,MID,MUN,Man Utd,4,1,1,0,,False,
Angulo,MID,SUN,Sunderland,4,2,0,0,,False,
Anselmino,DEF,CHE,Chelsea,4,2,0,0,,False,
Anthony,MID,BRE,Brentford,6,2,8,4,,False,
Araujo,DEF,LIV,Liverpool,6,1,0,0,,False,
Armstrong,MID,EVE,Everton,4,2,0,0,,False,
Arrizabalaga,GK,ARS,Arsenal,4,1,0,0,,False,
Austin,GK,TOT,Spurs,4,3,0,0,,False,
Awoniyi,FWD,COV,Coventry City,6,3,4,2,,False,
Ayari,MID,BHA,Brighton,6,2,3,4,,False,
Aznou,DEF,EVE,Everton,4,2,0,0,,True,Has joined Malaga on loan for the rest of the season
Aït-Nouri,DEF,MCI,Man City,4,1,0,2,,False,
B.Badiashile,DEF,CHE,Chelsea,4,2,0,0,,True,Has joined Napoli on loan for the rest of the season
B.Fernandes,MID,MUN,Man Utd,12,1,9,24,M³: Maestro Marauders Magic,False,
Bailey,MID,AVL,Aston Villa,6,1,0,2,,False,
Bajcetic,MID,LIV,Liverpool,4,1,0,0,,True,Has joined Celta Vigo permanently
Bakwa,MID,NFO,Nott'm Forest,6,3,0,2,,True,Has joined Lille on loan for the rest of the season
Baleba,MID,MUN,Man Utd,4,1,0,0,,False,
