id,short_name,prev_pts,rating,strength_z,mult_attack,mult_defvol,mult_conceded,mult_flat,p_tier1,p_tier2,p_tier3,exp_tier
1,ARS,85.0,9,2.119,0.831,0.849,0.852,0.842,0.999,0.001,0.0,1.001
15,MCI,78.0,9,1.863,0.832,0.85,0.853,0.843,0.994,0.006,0.0,1.006
16,MUN,71.0,8,1.284,0.841,0.86,0.862,0.853,0.94,0.059,0.0,1.06
14,LIV,60.0,8,0.881,0.868,0.888,0.891,0.88,0.783,0.213,0.004,1.22
2,AVL,65.0,7,0.741,0.884,0.904,0.906,0.896,0.699,0.293,0.008,1.309
6,CHE,52.0,8,0.589,0.903,0.924,0.926,0.916,0.595,0.388,0.017,1.421
3,BOU,57.0,6,0.125,0.975,0.999,1.001,0.989,0.248,0.667,0.085,1.837
4,BRE,53.0,6,-0.021,0.998,1.022,1.024,1.012,0.172,0.692,0.136,1.965
9,EVE,49.0,6,-0.168,1.022,1.046,1.049,1.037,0.112,0.68,0.208,2.096
20,SUN,54.0,5,-0.308,1.043,1.068,1.07,1.058,0.078,0.634,0.288,2.21
8,CRY,45.0,6,-0.314,1.046,1.07,1.073,1.06,0.076,0.627,0.297,2.221
5,BHA,53.0,5,-0.345,1.047,1.072,1.074,1.062,0.068,0.634,0.298,2.229
18,NFO,44.0,6,-0.35,1.051,1.076,1.078,1.066,0.065,0.62,0.315,2.25
10,FUL,52.0,5,-0.381,1.056,1.081,1.083,1.071,0.054,0.615,0.332,2.278
19,TOT,41.0,6,-0.46,1.067,1.092,1.095,1.082,0.047,0.57,0.384,2.337
17,NEW,49.0,5,-0.491,1.072,1.097,1.099,1.087,0.041,0.557,0.402,2.36
13,LEE,47.0,5,-0.564,1.086,1.111,1.114,1.101,0.026,0.511,0.462,2.436
12,IPS,33.0,4,-1.399,1.181,1.207,1.209,1.196,0.001,0.072,0.927,2.926
7,COV,33.0,4,-1.399,1.179,1.205,1.207,1.194,0.0,0.083,0.917,2.917
11,HUL,33.0,4,-1.399,1.18,1.205,1.208,1.195,0.0,0.08,0.92,2.92
