name,clubCode,position,tierLabel,xg90,xa90,xgi90,dc90,cs_prob,ffpl_pgw,next6_pgw,role,draft_now,draft_x,spike_gw,impact,season_points,status,flags,role_note
Van Hecke,TOT,DEF,3,0.09,0.05,0.13,8.71,0.23,4.56,5.05,1.0,5.05,5.03,5.63,5.21,1.0,a,NEW-CLUB,
Senesi,TOT,DEF,3,0.04,0.12,0.16,10.89,0.23,5.22,5.79,0.85,4.92,4.97,6.66,5.18,3.0,a,NEW-CLUB,benched in GW2 per manager report - check team news
Tarkowski,EVE,DEF,2,0.07,0.06,0.12,9.79,0.26,4.83,4.61,1.0,4.61,4.62,5.48,4.88,6.0,a,,
E.Le Fée,SUN,MID,2,0.16,0.17,0.33,9.49,0.26,4.46,4.64,1.0,4.64,4.64,4.97,4.74,2.0,a,,
Henderson,CRY,GK,3,0.0,0.0,0.0,0.0,0.27,4.3,4.6,1.0,4.6,4.61,4.82,4.67,2.0,a,,
Richards,CRY,DEF,3,0.07,0.05,0.12,9.53,0.27,4.16,4.45,1.0,4.45,4.58,4.61,4.59,3.0,a,,
Roefs,SUN,GK,2,0.0,0.0,0.0,0.0,0.26,4.3,4.48,1.0,4.48,4.48,4.84,4.59,1.0,a,,
Thiaw,NEW,DEF,2,0.13,0.03,0.16,8.68,0.28,4.73,4.31,1.0,4.31,4.37,5.05,4.58,3.0,a,,
Anderson,MCI,MID,1,0.09,0.13,0.22,13.0,0.38,4.22,4.38,1.0,4.38,4.33,5.01,4.53,2.0,a,NEW-CLUB,
Collins,BRE,DEF,2,0.07,0.05,0.12,9.34,0.25,4.05,4.3,1.0,4.3,4.37,4.71,4.47,6.0,a,,
Guéhi,MCI,DEF,1,0.11,0.06,0.17,7.91,0.38,4.1,4.25,1.0,4.25,4.23,4.89,4.43,10.0,a,,
Mitchell,CRY,DEF,3,0.05,0.07,0.11,6.93,0.27,4.09,4.38,1.0,4.38,4.41,4.45,4.42,1.0,a,,
Ampadu,LEE,MID,2,0.08,0.07,0.16,11.35,0.25,4.41,4.17,1.0,4.17,4.19,4.84,4.38,5.0,a,,
Milenković,NFO,DEF,3,0.03,0.02,0.05,8.21,0.23,3.86,4.1,1.0,4.1,4.14,4.9,4.37,2.0,a,,
Verbruggen,BHA,GK,2,0.0,0.0,0.0,0.0,0.27,4.32,4.14,1.0,4.14,4.14,4.83,4.35,6.0,a,,
Fernandes,TOT,MID,3,0.07,0.1,0.17,10.5,0.23,4.15,4.61,0.9,4.14,4.06,5.44,4.31,1.0,a,NEW-CLUB,
Garner,EVE,MID,2,0.07,0.16,0.22,11.46,0.26,4.7,4.5,0.9,4.05,4.03,5.46,4.29,1.0,a,,
Pickford,EVE,GK,2,0.0,0.0,0.0,0.0,0.26,4.21,4.02,1.0,4.02,4.03,4.82,4.27,7.0,a,,
Xhaka,SUN,MID,2,0.05,0.12,0.17,10.67,0.26,3.9,4.05,1.0,4.05,3.98,4.44,4.12,9.0,a,,
Leno,FUL,GK,2,0.0,0.0,0.0,0.0,0.24,4.22,3.81,1.0,3.81,3.81,4.69,4.07,2.0,a,,
