web_name,short_name,position,ffpl_pgw,ffpl_season,flags,set_pieces,max_bid_6_teams,surplus_6_teams,max_bid_8_teams,surplus_8_teams,max_bid_10_teams,surplus_10_teams,priority
Senesi,TOT,DEF,5.22,188.04,NEW-CLUB,,63,2.16,70,2.78,75,3.4,1
Thiago,BRE,FWD,5.17,185.98,PEN,PEN,59,2.01,61,2.39,64,2.88,2
Gibbs-White,NFO,MID,5.01,180.43,,FK,54,1.86,51,1.98,50,2.22,4
B.Fernandes,MUN,MID,4.94,177.88,PEN,"PEN, FK, CK",51,1.71,48,1.84,47,2.08,6
Haaland,MCI,FWD,4.91,176.87,PEN,PEN,45,1.51,48,1.88,53,2.37,5
Tarkowski,EVE,DEF,4.83,173.74,,,41,1.37,51,1.99,58,2.61,3
Thiaw,NEW,DEF,4.73,170.18,,,38,1.27,46,1.79,54,2.41,7
Garner,EVE,MID,4.7,169.27,,"FK, CK",41,1.36,36,1.36,37,1.6,11
Van Hecke,TOT,DEF,4.56,163.98,NEW-CLUB,,34,1.1,42,1.6,47,2.07,8
Calvert-Lewin,LEE,FWD,4.47,160.93,PEN,PEN,30,0.98,33,1.23,35,1.48,13
E.Le Fée,SUN,MID,4.46,160.5,,CK,34,1.12,30,1.12,27,1.12,20
Ampadu,LEE,MID,4.41,158.87,,,33,1.07,29,1.07,26,1.08,24
Virgil,LIV,DEF,4.37,157.19,,,28,0.91,37,1.41,41,1.79,9
Gabriel,ARS,DEF,4.34,156.21,,,28,0.88,37,1.38,41,1.77,10
Verbruggen,BHA,GK,4.32,155.57,,,7,0.11,12,0.34,22,0.9,58
Roefs,SUN,GK,4.3,154.99,,,6,0.09,11,0.32,22,0.88,59
Henderson,CRY,GK,4.3,154.89,,,6,0.09,11,0.32,22,0.88,60
Truffert,BOU,DEF,4.3,154.89,,,27,0.84,36,1.34,40,1.73,12
Enzo,CHE,MID,4.24,152.59,,,28,0.9,25,0.9,22,0.9,29
Wilson,LEE,MID,4.24,152.49,NEW-CLUB,,28,0.89,25,0.9,22,0.9,30
Anderson,MCI,MID,4.22,152.06,NEW-CLUB,,28,0.88,25,0.89,22,0.89,31
Leno,FUL,GK,4.22,151.98,,,4,0.01,9,0.24,20,0.8,64
Kelleher,BRE,GK,4.22,151.86,,,4,0.01,9,0.24,20,0.79,65
Pickford,EVE,GK,4.21,151.55,,,4,0.0,9,0.23,20,0.79,66
Richards,CRY,DEF,4.16,149.7,,,23,0.7,32,1.2,37,1.59,14
Mukiele,SUN,DEF,4.16,149.64,,,23,0.7,32,1.2,37,1.58,15
Fernandes,TOT,MID,4.15,149.52,NEW-CLUB,,26,0.81,23,0.81,21,0.82,32
N.Williams,NFO,DEF,4.14,149.02,,CK,22,0.68,32,1.18,36,1.57,16
Semenyo,MCI,MID,4.12,148.13,,,25,0.77,22,0.78,20,0.78,35
Guéhi,MCI,DEF,4.1,147.57,,,21,0.64,31,1.14,36,1.53,17
Mitchell,CRY,DEF,4.09,147.23,,,21,0.63,31,1.13,35,1.52,18
Struijk,BHA,DEF,4.08,146.9,NEW-CLUB,,21,0.62,30,1.12,35,1.51,19
Andersen,FUL,DEF,4.06,146.24,,,20,0.6,30,1.1,35,1.49,21
Lacroix,CHE,DEF,4.06,146.02,NEW-CLUB,,20,0.6,30,1.1,35,1.48,22
Collins,BRE,DEF,4.05,145.85,,,20,0.59,30,1.09,35,1.48,23
João Pedro,CHE,FWD,4.04,145.49,,,19,0.55,23,0.8,26,1.06,33
Rogers,CHE,MID,4.03,145.05,NEW-CLUB,,22,0.69,20,0.69,18,0.69,37
Rodon,LEE,DEF,4.02,144.76,,,19,0.56,29,1.06,34,1.45,25
Ndiaye,EVE,MID,4.01,144.55,PEN,PEN,22,0.67,20,0.68,18,0.68,40
Raya,ARS,GK,4.0,144.08,,,4,0.0,4,0.02,16,0.58,71
Alderete,SUN,DEF,3.99,143.55,,,18,0.53,28,1.03,33,1.41,26
Scott,BOU,MID,3.98,143.44,,,21,0.64,19,0.65,17,0.65,42
Petrović,BOU,GK,3.98,143.28,,,4,0.0,4,0.0,15,0.56,72
Tavernier,BOU,MID,3.94,141.94,,"FK, CK",20,0.6,18,0.6,16,0.61,43
Keane,EVE,DEF,3.94,141.68,,,17,0.48,27,0.98,32,1.36,27
Rice,ARS,MID,3.93,141.64,,"FK, CK",20,0.59,18,0.6,16,0.6,45
Watkins,AVL,FWD,3.93,141.54,,,16,0.44,20,0.69,23,0.95,38
Xhaka,SUN,MID,3.9,140.34,,FK,19,0.56,17,0.56,15,0.56,47
Szoboszlai,LIV,MID,3.9,140.34,PEN,"PEN, FK, CK",19,0.56,17,0.56,15,0.56,48
Dewsbury-Hall,EVE,MID,3.9,140.28,,,19,0.56,17,0.56,15,0.56,49
Milenković,NFO,DEF,3.86,139.0,,,15,0.4,25,0.9,31,1.29,28
Schade,BRE,MID,3.8,136.74,,,16,0.46,15,0.46,13,0.46,55
F.Kadıoğlu,BHA,DEF,3.75,134.92,,,11,0.29,22,0.79,28,1.18,34
