code,web_name,short_name,position,season_points,exp_tier,eff_mult,proj_pgw,ffpl_pgw,ffpl_season,p_tier1,p_tier2,p_tier3,exp_mins_gw,starts,likely_starter,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order,status,flags
221466,Senesi,TOT,DEF,3,2.337,1.08,4.835,5.223,188.038,0.047,0.57,0.384,86.526,37.0,True,,,,a,NEW-CLUB
502500,Thiago,BRE,FWD,0,1.965,1.007,5.131,5.166,185.98,0.172,0.692,0.136,86.368,37.0,True,1.0,,,a,PEN
222531,Gibbs-White,NFO,MID,2,2.25,1.061,4.724,5.012,180.428,0.065,0.62,0.315,81.605,35.0,True,2.0,1.0,,a,
141746,B.Fernandes,MUN,MID,2,1.06,0.848,5.825,4.941,177.879,0.94,0.059,0.0,80.658,35.0,True,1.0,1.0,1.0,a,PEN
223094,Haaland,MCI,FWD,2,1.006,0.838,5.863,4.913,176.866,0.994,0.006,0.0,77.711,34.0,True,1.0,,,a,PEN
17761,Tarkowski,EVE,DEF,6,2.096,1.034,4.668,4.826,173.743,0.112,0.68,0.208,87.632,37.0,True,,,,a,
465642,Thiaw,NEW,DEF,3,2.36,1.083,4.367,4.727,170.184,0.041,0.557,0.402,77.974,33.0,True,,,,a,
232928,Garner,EVE,MID,1,2.096,1.037,4.535,4.702,169.267,0.112,0.68,0.208,89.816,38.0,True,3.0,1.0,1.0,a,
469142,Van Hecke,TOT,DEF,1,2.337,1.079,4.223,4.555,163.984,0.047,0.57,0.384,84.474,36.0,True,,,,a,NEW-CLUB
177815,Calvert-Lewin,LEE,FWD,1,2.436,1.096,4.079,4.47,160.934,0.026,0.511,0.462,71.605,30.0,True,1.0,,,a,PEN
484420,E.Le Fée,SUN,MID,2,2.21,1.056,4.223,4.458,160.502,0.078,0.634,0.288,77.105,33.0,True,2.0,2.0,1.0,a,
199598,Ampadu,LEE,MID,5,2.436,1.102,4.006,4.413,158.874,0.026,0.511,0.462,82.079,35.0,True,,,,a,
97032,Virgil,LIV,DEF,2,1.22,0.877,4.98,4.366,157.187,0.783,0.213,0.004,90.0,38.0,True,,,,a,
67089,Dubravka,TOT,GK,0,2.337,1.081,4.033,4.362,157.015,0.047,0.57,0.384,82.895,35.0,False,,,,a,"NEW-CLUB, GK-RISK"
226597,Gabriel,ARS,DEF,5,1.001,0.838,5.176,4.339,156.21,0.999,0.001,0.0,72.368,30.0,True,,,,a,
489639,Verbruggen,BHA,GK,6,2.229,1.06,4.076,4.321,155.566,0.068,0.634,0.298,90.0,38.0,True,,,,a,
498016,Roefs,SUN,GK,1,2.21,1.057,4.075,4.305,154.994,0.078,0.634,0.288,82.895,35.0,True,,,,a,
172649,Henderson,CRY,GK,2,2.221,1.059,4.064,4.303,154.891,0.076,0.627,0.297,87.632,37.0,True,,,,a,
494521,Truffert,BOU,DEF,1,1.837,0.986,4.365,4.302,154.888,0.248,0.667,0.085,88.895,38.0,True,,,,a,
448047,Enzo,CHE,MID,1,1.421,0.911,4.651,4.239,152.591,0.595,0.388,0.017,81.947,35.0,True,2.0,2.0,3.0,a,
153682,Wilson,LEE,MID,3,2.436,1.096,3.864,4.236,152.486,0.026,0.511,0.462,70.368,32.0,True,,,2.0,a,NEW-CLUB
215379,Anderson,MCI,MID,2,1.006,0.843,5.011,4.224,152.057,0.994,0.006,0.0,87.684,37.0,True,,,2.0,a,NEW-CLUB
