code,web_name,short_name,position,price,season_points,proj_pgw,proj_season,proj_next6_pgw,value,exp_mins_gw,starts,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order,attack_pts,cs_pts,defcon_pts,save_pts,bonus_pts,appearance_pts,conceded_pts,card_pts,xg90,xa90,dc90,cs_prob,fdr_next6,selected_by_percent,status,flags
223094,Haaland,MCI,FWD,15.5,2,5.863,222.806,5.863,0.378,77.711,34.0,1.0,,,2.922,0.0,0.0,0.0,0.88,1.828,0.295,-0.062,0.729,0.076,3.383,0.382,3.0,67.9,a,PEN
141746,B.Fernandes,MUN,MID,12.0,2,5.825,221.355,5.847,0.485,80.658,35.0,1.0,1.0,1.0,2.387,0.257,0.264,0.0,0.807,1.898,0.346,-0.134,0.286,0.322,8.35,0.271,2.833,48.4,a,PEN
226597,Gabriel,ARS,DEF,8.0,5,5.176,196.678,5.176,0.647,72.368,30.0,,,,0.652,1.687,0.664,0.0,0.582,1.703,0.0,-0.111,0.089,0.057,8.827,0.495,3.0,29.2,a,
502500,Thiago,BRE,FWD,8.0,0,5.131,194.99,5.112,0.641,86.368,37.0,1.0,,,2.312,0.0,0.026,0.0,0.498,2.0,0.469,-0.175,0.554,0.05,5.646,0.252,3.167,16.7,a,PEN
215379,Anderson,MCI,MID,6.4,2,5.011,190.431,5.011,0.783,87.684,37.0,,,2.0,0.862,0.382,1.294,0.0,0.344,2.0,0.332,-0.202,0.087,0.129,13.002,0.382,3.0,6.1,a,NEW-CLUB
97032,Virgil,LIV,DEF,6.5,2,4.98,189.244,4.997,0.766,90.0,38.0,,,,0.784,1.255,0.834,0.0,0.222,2.0,0.0,-0.115,0.093,0.04,9.035,0.314,2.833,19.6,a,
437730,Semenyo,MCI,MID,8.5,2,4.907,186.454,4.907,0.577,84.211,37.0,3.0,,,1.935,0.379,0.093,0.0,0.379,1.981,0.319,-0.179,0.283,0.094,6.846,0.382,3.0,24.3,a,
209036,Guéhi,MCI,DEF,6.0,10,4.889,185.766,4.889,0.815,82.895,35.0,,,,0.78,1.491,0.531,0.0,0.294,1.95,0.0,-0.158,0.106,0.065,7.91,0.382,3.0,19.4,a,
221466,Senesi,TOT,DEF,6.0,3,4.835,183.723,4.835,0.806,86.526,37.0,,,,0.544,0.902,1.296,0.0,0.296,2.0,0.0,-0.204,0.044,0.118,10.893,0.226,3.0,7.6,a,NEW-CLUB
154561,Raya,ARS,GK,6.0,6,4.774,181.404,4.774,0.796,87.632,37.0,,,,0.003,1.981,0.0,0.588,0.234,2.0,0.0,-0.033,0.0,0.002,0.0,0.495,3.0,38.3,a,
222531,Gibbs-White,NFO,MID,8.0,2,4.724,179.524,4.724,0.591,81.605,35.0,2.0,1.0,,1.757,0.218,0.025,0.0,0.377,1.92,0.473,-0.046,0.284,0.091,5.619,0.227,3.0,8.6,a,
204480,Rice,ARS,MID,7.5,3,4.684,177.992,4.684,0.625,81.395,35.0,,1.0,1.0,1.072,0.474,0.682,0.0,0.471,1.915,0.16,-0.09,0.098,0.199,10.456,0.495,3.0,17.0,a,
17761,Tarkowski,EVE,DEF,6.0,6,4.668,177.381,4.681,0.778,87.632,37.0,,,,0.547,1.034,1.032,0.0,0.259,2.0,0.0,-0.204,0.067,0.056,9.792,0.259,2.833,8.7,a,
448047,Enzo,CHE,MID,7.0,1,4.651,176.724,4.651,0.664,81.947,35.0,2.0,2.0,3.0,1.766,0.243,0.121,0.0,0.396,1.928,0.441,-0.244,0.294,0.196,7.198,0.252,3.0,4.5,a,
232928,Garner,EVE,MID,6.0,1,4.535,172.346,4.544,0.756,89.816,38.0,3.0,1.0,1.0,0.829,0.259,0.951,0.0,0.288,2.0,0.502,-0.293,0.067,0.157,11.461,0.259,2.833,0.1,a,
424876,Szoboszlai,LIV,MID,7.0,8,4.441,168.773,4.454,0.634,85.053,36.0,1.0,1.0,1.0,1.202,0.314,0.43,0.0,0.436,2.0,0.327,-0.268,0.132,0.18,9.184,0.314,2.833,43.2,a,PEN
437499,Lacroix,CHE,DEF,6.0,6,4.439,168.688,4.439,0.74,81.184,35.0,,,,0.404,0.962,1.105,0.0,0.237,1.91,0.0,-0.179,0.069,0.029,10.296,0.252,3.0,9.5,a,NEW-CLUB
475168,João Pedro,CHE,FWD,7.6,11,4.437,168.602,4.437,0.584,69.947,31.0,,,,1.909,0.0,0.005,0.0,0.626,1.646,0.376,-0.126,0.503,0.063,4.628,0.252,3.0,67.8,a,
244850,Rogers,CHE,MID,7.5,8,4.418,167.89,4.418,0.589,86.316,37.0,,,4.0,1.448,0.252,0.072,0.0,0.362,2.0,0.464,-0.18,0.179,0.12,6.566,0.252,3.0,26.1,a,NEW-CLUB
178301,Watkins,AVL,FWD,7.9,0,4.409,167.554,4.409,0.558,74.553,33.0,2.0,,,1.83,0.0,0.0,0.0,0.56,1.754,0.37,-0.105,0.49,0.04,3.239,0.239,3.0,8.0,a,
465642,Thiaw,NEW,DEF,5.0,3,4.367,165.964,4.382,0.873,77.974,33.0,,,,0.697,1.015,0.679,0.0,0.254,1.835,0.0,-0.113,0.131,0.033,8.679,0.277,2.833,1.7,a,
494521,Truffert,BOU,DEF,5.5,1,4.365,165.873,4.313,0.794,88.895,38.0,,,,0.519,1.03,0.561,0.0,0.393,2.0,0.0,-0.137,0.039,0.078,7.977,0.257,3.667,4.2,a,
469142,Van Hecke,TOT,DEF,5.0,1,4.223,160.483,4.223,0.845,84.474,36.0,,,,0.638,0.897,0.743,0.0,0.182,1.988,0.0,-0.225,0.087,0.046,8.706,0.226,3.0,9.7,a,NEW-CLUB
484420,E.Le Fée,SUN,MID,6.0,2,4.223,160.47,4.223,0.704,77.105,33.0,2.0,2.0,1.0,1.109,0.238,0.447,0.0,0.337,1.814,0.411,-0.133,0.155,0.173,9.486,0.263,3.0,8.8,a,
200720,Kelleher,BRE,GK,5.0,7,4.172,158.552,4.164,0.834,87.632,37.0,,,,0.009,1.01,0.0,0.952,0.234,2.0,0.0,-0.033,0.0,0.005,0.0,0.252,3.167,6.5,a,
472769,O'Reilly,MCI,DEF,6.5,2,4.135,157.136,4.135,0.636,69.553,29.0,,,,1.005,1.251,0.162,0.0,0.213,1.637,0.0,-0.132,0.18,0.084,6.205,0.382,3.0,20.9,a,
199798,Konsa,ARS,DEF,4.5,0,4.133,157.073,4.133,0.919,79.868,34.0,,,,0.221,1.862,0.175,0.0,0.087,1.879,0.0,-0.091,0.041,0.023,6.13,0.495,3.0,10.9,a,NEW-CLUB
177815,Calvert-Lewin,LEE,FWD,6.0,1,4.079,154.986,4.064,0.68,71.605,30.0,1.0,,,1.701,0.0,0.001,0.0,0.446,1.685,0.329,-0.083,0.511,0.038,3.646,0.251,3.167,28.8,a,PEN
489639,Verbruggen,BHA,GK,4.5,6,4.076,154.87,4.076,0.906,90.0,38.0,,,,0.003,1.077,0.0,0.934,0.14,2.0,0.0,-0.078,0.0,0.002,0.0,0.269,3.0,21.5,a,
